NUM_POSTE;DAT;PSTATM;PMERM;TMMOY;TMSIGMA;TXMOY;TNMOY;TSVMOY;RR;NBJRR1;INST;NBPMER;NBTM;NBTX;NBTSV;NBRR;NBINS;NBJTX25;NBJTX30;NBJTX35;NBJTX40;NBJTX0;NBJTN0;NBJRR5;NBJRR10;NBJRR50;NBJRR100;NBJNEIG0;NBJNEIG1;NBJNEIG10;NBJNEIG50;NBJFF10;NBJFF20;NBJFF30;NBJVISI50;NBJVISI100;NBJVISI1000;TMXAB;TMXDAT;TMNAB;TMNDAT;TXAB;TXDAT;TNAB;TNDAT;RRAB;RRDAT;FXAB;FXDAT;NBORAGE;NBGRELE;HTX;HTN
07005;1997-01-01 00:00:00;1012.7;1022.6;-0.2;4.8;2.3;-2.3;5.6;3;1;52;22;31;31;31;31;31;;;;;9;17;0;;;;4;0;;;15;0;0;0;2;8;6.2;1997-01-22 00:00:00;-10.8;1997-01-01 00:00:00;10.9;1997-01-22 00:00:00;-12.1;1997-01-01 00:00:00;1;1997-01-18 00:00:00;13;1997-01-01 00:00:00;;;6;18
07015;1997-01-01 00:00:00;1016.1;1022.9;-0.5;4.9;2.1;-2.6;5.4;3;1;64;21;31;31;31;31;31;;;;;11;19;0;;;;;;;;5;0;0;0;0;11;6.2;1997-01-22 00:00:00;-11.1;1997-01-01 00:00:00;11.8;1997-01-22 00:00:00;-12.5;1997-01-01 00:00:00;1;1997-01-08 00:00:00;11;1997-01-01 00:00:00;;;6;18
07020;1997-01-01 00:00:00;1018.6;1020.4;4.9;2.8;6.6;3.2;7.4;12;5;;23;31;31;31;31;-1;;;;;0;5;0;;;;;;;;30;7;0;0;1;5;8.8;1997-01-17 00:00:00;-0.3;1997-01-08 00:00:00;11.9;1997-01-13 00:00:00;-2.8;1997-01-08 00:00:00;3.4;1997-01-21 00:00:00;26;1997-01-11 00:00:00;;;6;18
07027;1997-01-01 00:00:00;1012.6;1021.1;1.5;4.5;4.2;-1;6.4;16;6;52;22;31;31;31;31;31;;;;;6;18;1;;;;8;4;;;12;0;0;0;0;8;8.3;1997-01-22 00:00:00;-8.4;1997-01-01 00:00:00;11.5;1997-01-22 00:00:00;-12;1997-01-02 00:00:00;5;1997-01-21 00:00:00;14;1997-01-28 00:00:00;;;6;18
07037;1997-01-01 00:00:00;1002.7;1021.7;-0.2;4.5;2.2;-2.3;5.8;13;5;43;13;31;31;31;31;31;;;;;9;20;0;;;;3;2;;;13;0;0;0;0;10;7;1997-01-22 00:00:00;-10.9;1997-01-01 00:00:00;10.6;1997-01-22 00:00:00;-12.9;1997-01-01 00:00:00;3.4;1997-01-24 00:00:00;13;1997-01-21 00:00:00;;;6;18
07110;1997-01-01 00:00:00;1006.5;1018.9;4;4.2;6.9;1.5;7.5;32;9;68;21;31;31;31;31;31;;;;;2;9;3;;;;4;1;;;19;0;0;0;0;11;9.7;1997-01-17 00:00:00;-4.7;1997-01-01 00:00:00;12.4;1997-01-13 00:00:00;-7.2;1997-01-02 00:00:00;6.6;1997-01-16 00:00:00;17;1997-01-21 00:00:00;;;6;18
07149;1997-01-01 00:00:00;1010.4;1021.8;0.5;4.6;3.4;-1.9;5.7;4;2;;19;31;31;31;31;0;;;;;8;21;0;;;;6;2;;;8;0;0;0;0;8;8.2;1997-01-22 00:00:00;-10;1997-01-01 00:00:00;11.9;1997-01-22 00:00:00;-11.8;1997-01-01 00:00:00;1.6;1997-01-18 00:00:00;12;1997-01-03 00:00:00;;;6;18
07190;1997-01-01 00:00:00;1004.4;1023.9;-2.7;4.7;-0.4;-4.7;4.8;21;5;27;30;31;31;31;31;31;;;;;17;23;2;;;;21;20;9;0;;;;0;2;14;5.1;1997-01-23 00:00:00;-12.1;1997-01-02 00:00:00;8.7;1997-01-23 00:00:00;-16.8;1997-01-02 00:00:00;7;1997-01-19 00:00:00;;1997-01-21 00:00:00;;;6;18
07207;1997-01-01 00:00:00;1013.6;1019;4.5;4.3;6.5;2.5;8.2;21;8;;16;30;31;30;31;0;;;;;3;8;0;;;;;;;;27;3;0;0;0;10;10.4;1997-01-19 00:00:00;-4.6;1997-01-01 00:00:00;11.6;1997-01-19 00:00:00;-6.8;1997-01-02 00:00:00;3.2;1997-01-10 00:00:00;24;1997-01-18 00:00:00;;;6;18
07222;1997-01-01 00:00:00;1015.9;1019.2;2.6;4.9;5.7;0.4;7;32;7;66;22;31;31;31;31;31;;;;;5;13;3;;;;11;11;;;16;0;0;0;0;7;9.8;1997-01-25 00:00:00;-8.5;1997-01-02 00:00:00;13.7;1997-01-22 00:00:00;-11.2;1997-01-02 00:00:00;8;1997-01-03 00:00:00;17;1997-01-18 00:00:00;0;1;6;18
07240;1997-01-01 00:00:00;1006.3;1020.3;0.9;4.7;3.8;-1.1;6.2;21;8;59;24;31;31;31;31;31;;;;;9;18;1;;;;;;;;13;0;0;1;1;10;8.8;1997-01-24 00:00:00;-8.9;1997-01-01 00:00:00;13.6;1997-01-22 00:00:00;-10.7;1997-01-02 00:00:00;6.4;1997-01-09 00:00:00;15;1997-01-03 00:00:00;;;6;18
07255;1997-01-01 00:00:00;1000.2;1020.8;0.8;5;4;-1.4;6.2;24;5;55;25;30;31;30;31;31;;;;;8;20;1;;;;10;6;1;0;5;0;0;2;3;10;9.8;1997-01-23 00:00:00;-9.2;1997-01-01 00:00:00;14.4;1997-01-22 00:00:00;-13.1;1997-01-01 00:00:00;9.6;1997-01-04 00:00:00;13;1997-01-20 00:00:00;0;1;6;18
07280;1997-01-01 00:00:00;993.7;1022.3;-0.9;4.3;1.4;-2.9;5.5;49;9;34;20;31;31;31;31;31;;;;;13;21;4;1;0;;18;18;;;6;0;0;0;4;12;6.1;1997-01-23 00:00:00;-8.2;1997-01-01 00:00:00;9.9;1997-01-23 00:00:00;-11.2;1997-01-15 00:00:00;14.8;1997-01-18 00:00:00;13;1997-01-03 00:00:00;;;6;18
07299;1997-01-01 00:00:00;989.5;1023.7;-2.2;4.5;0.7;-4.3;5;30;4;47;28;31;31;31;31;31;;;;;15;24;2;1;0;;15;14;;;2;0;0;0;0;15;5;1997-01-23 00:00:00;-11.2;1997-01-02 00:00:00;10.4;1997-01-24 00:00:00;-14.4;1997-01-14 00:00:00;14.8;1997-01-22 00:00:00;11;1997-01-21 00:00:00;;;6;18
07314;1997-01-01 00:00:00;1015.7;1018.6;4.5;4;7;2.6;7.9;26;6;;25;31;31;31;31;0;;;;;3;6;2;;;;2;2;;;21;4;0;1;2;6;9.8;1997-01-24 00:00:00;-4.9;1997-01-01 00:00:00;13.4;1997-01-16 00:00:00;-5.8;1997-01-02 00:00:00;7.2;1997-01-08 00:00:00;23;1997-01-19 00:00:00;;;6;18
07335;1997-01-01 00:00:00;1004.7;1019.7;1.7;5.4;5.3;-1;6.5;19;7;70;24;31;31;31;31;31;;;;;5;19;0;;;;6;6;;;10;0;0;0;0;8;10.2;1997-01-24 00:00:00;-8.3;1997-01-01 00:00:00;14.4;1997-01-25 00:00:00;-12.5;1997-01-02 00:00:00;4;1997-01-21 00:00:00;14;1997-01-20 00:00:00;;;6;18
07434;1997-01-01 00:00:00;969.7;1018.5;4.2;5;7.7;1.3;6.5;25;7;105;24;31;31;31;31;31;;;;;2;12;1;;;;7;7;;;12;0;0;0;0;10;11.8;1997-01-22 00:00:00;-4.8;1997-01-01 00:00:00;15.3;1997-01-21 00:00:00;-8.1;1997-01-01 00:00:00;7.6;1997-01-04 00:00:00;16;1997-01-21 00:00:00;;;6;18
07460;1997-01-01 00:00:00;979.6;1020.3;1.5;5.7;5.2;-1.5;6.1;39;8;72;20;31;31;31;31;31;;;;;5;18;5;;;;14;13;4;0;9;1;0;0;0;10;13.1;1997-01-22 00:00:00;-7.5;1997-01-13 00:00:00;15.6;1997-01-22 00:00:00;-11.9;1997-01-08 00:00:00;6.6;1997-01-20 00:00:00;20;1997-01-22 00:00:00;;;6;18
07471;1997-01-01 00:00:00;919.7;;0.3;5.1;5;-3.3;5.5;62;8;83;12;31;31;31;31;31;;;;;4;21;6;3;0;;21;21;16;0;11;1;0;0;0;6;8.8;1997-01-22 00:00:00;-6.5;1997-01-01 00:00:00;11.5;1997-01-31 00:00:00;-13.8;1997-01-01 00:00:00;16.2;1997-01-19 00:00:00;21;1997-01-22 00:00:00;1;0;6;18
07481;1997-01-01 00:00:00;991.6;1021.5;0.9;4.6;3.4;-1.3;5.9;84;7;30;18;31;31;31;31;31;;;;;7;18;5;4;0;;18;18;9;0;3;0;0;0;2;15;10.6;1997-01-23 00:00:00;-6.6;1997-01-01 00:00:00;15;1997-01-24 00:00:00;-12.1;1997-01-01 00:00:00;20.8;1997-01-20 00:00:00;12;1997-01-19 00:00:00;;;6;18
07510;1997-01-01 00:00:00;1010.3;1017.8;5.5;4.8;9.6;2.4;8.1;43;9;100;26;31;31;31;31;31;;;;;1;10;2;2;0;;;;;;6;0;0;0;1;10;11.9;1997-01-23 00:00:00;-4.4;1997-01-01 00:00:00;17.7;1997-01-22 00:00:00;-6.4;1997-01-01 00:00:00;12;1997-01-21 00:00:00;13;1997-01-18 00:00:00;;;6;18
07535;1997-01-01 00:00:00;986.3;1018.5;5.2;5.4;9.4;1.9;7.6;25;4;91;27;31;31;31;31;31;;;;;0;15;1;;;;7;7;2;0;12;2;0;0;0;10;13.7;1997-01-22 00:00:00;-3.6;1997-01-01 00:00:00;16.8;1997-01-22 00:00:00;-7.2;1997-01-02 00:00:00;8.6;1997-01-04 00:00:00;25;1997-01-21 00:00:00;;;6;18
07560;1997-01-01 00:00:00;841.1;;-0.4;3.1;1.3;-2;5.1;267;12;;30;31;31;31;31;0;;;;;10;19;9;8;2;;27;27;21;8;30;20;8;6;18;21;3.5;1997-01-31 00:00:00;-7;1997-01-05 00:00:00;6;1997-01-31 00:00:00;-9.6;1997-01-05 00:00:00;78.4;1997-01-08 00:00:00;50;1997-01-03 00:00:00;1;0;6;18
07577;1997-01-01 00:00:00;1011;1020.1;3.3;4.1;6.3;1.1;6.8;165;10;71;18;31;31;31;31;31;;;;;2;12;7;5;0;;5;5;3;0;18;0;0;0;1;6;12.2;1997-01-22 00:00:00;-2.1;1997-01-14 00:00:00;14.4;1997-01-24 00:00:00;-5;1997-01-15 00:00:00;49.8;1997-01-19 00:00:00;18;1997-01-10 00:00:00;1;0;6;18
07591;1997-01-01 00:00:00;917.3;;2.8;3.7;7.7;-0.6;4.8;55;7;147;27;31;31;31;31;31;;;;;1;21;4;1;0;;;;;;26;3;0;;;;8.2;1997-01-23 00:00:00;-2;1997-01-05 00:00:00;13.2;1997-01-24 00:00:00;-4.5;1997-01-12 00:00:00;23.6;1997-01-19 00:00:00;20;1997-01-02 00:00:00;;;6;18
07607;1997-01-01 00:00:00;1010;1017.4;5.1;4.6;10;1.6;8.2;49;6;94;24;31;31;31;31;31;;;;;0;16;2;1;0;;8;8;2;0;2;0;0;0;0;13;11.9;1997-01-23 00:00:00;-0.7;1997-01-01 00:00:00;17.1;1997-01-31 00:00:00;-3.8;1997-01-07 00:00:00;27.8;1997-01-03 00:00:00;10;1997-01-09 00:00:00;;;6;18
07621;1997-01-01 00:00:00;973.4;1017.6;5.2;4.4;10.1;1.5;7.6;106;9;108;21;31;31;31;31;31;;;;;0;8;5;3;0;;10;10;;;3;0;0;1;2;8;10.8;1997-01-31 00:00:00;-1.2;1997-01-01 00:00:00;18.2;1997-01-31 00:00:00;-3.9;1997-01-07 00:00:00;46.2;1997-01-03 00:00:00;16;1997-01-03 00:00:00;;;6;18
07627;1997-01-01 00:00:00;968.1;1017.9;4.6;4.7;9.9;0.6;7.1;51;7;107;25;31;31;31;31;31;;;;;0;16;4;2;0;;9;8;;;6;0;0;1;1;7;10.8;1997-01-22 00:00:00;-2.6;1997-01-01 00:00:00;17.9;1997-01-22 00:00:00;-6.5;1997-01-01 00:00:00;20;1997-01-03 00:00:00;18;1997-01-04 00:00:00;;;6;18
07630;1997-01-01 00:00:00;999.6;1018.5;6.1;4.7;9.1;3.6;8.6;60;8;62;26;31;31;31;31;31;;;;;0;9;2;2;0;;4;4;;;16;2;0;0;1;9;13.3;1997-01-22 00:00:00;-0.7;1997-01-01 00:00:00;15.8;1997-01-22 00:00:00;-3.4;1997-01-13 00:00:00;32;1997-01-03 00:00:00;23;1997-01-21 00:00:00;;;6;18
07643;1997-01-01 00:00:00;1018;1018.7;7;4;11.2;4;8.4;133;8;107;27;31;31;31;31;31;;;;;0;5;7;3;1;;2;2;;;15;2;0;0;0;1;13.5;1997-01-22 00:00:00;0.9;1997-01-01 00:00:00;15.8;1997-01-24 00:00:00;-2.6;1997-01-01 00:00:00;60.4;1997-01-08 00:00:00;24;1997-01-03 00:00:00;1;1;6;18
07650;1997-01-01 00:00:00;1014.4;1018.3;8.1;4.6;12.6;4.8;8.4;101;9;113;30;31;31;31;31;31;;;;;0;5;7;4;0;;;;;;18;1;0;1;2;2;15.6;1997-01-22 00:00:00;3;1997-01-12 00:00:00;18.3;1997-01-21 00:00:00;-2.1;1997-01-12 00:00:00;29;1997-01-08 00:00:00;22;1997-01-02 00:00:00;2;0;6;18
07661;1997-01-01 00:00:00;1002.7;1018.9;9.5;2.4;11.8;7.3;9.3;126;9;;23;31;31;31;31;0;;;;;;;8;3;1;;;;;;22;8;0;;;;13.4;1997-01-22 00:00:00;4.8;1997-01-05 00:00:00;14.5;1997-01-23 00:00:00;2.8;1997-01-05 00:00:00;53.2;1997-01-08 00:00:00;28;1997-01-03 00:00:00;4;0;6;18
07690;1997-01-01 00:00:00;1015.9;1019.1;9.1;2.8;13.2;6.7;8.7;165;10;133;22;31;31;31;31;31;;;;;;;6;6;0;;;;;;21;1;0;;;;12.8;1997-01-23 00:00:00;5.9;1997-01-01 00:00:00;16.7;1997-01-23 00:00:00;3.3;1997-01-05 00:00:00;37;1997-01-19 00:00:00;21;1997-01-03 00:00:00;2;1;6;18
07747;1997-01-01 00:00:00;1012;1017.7;8.4;3.5;11.7;5.5;9.2;50;10;69;29;31;31;31;31;31;;;;;0;2;3;1;0;;;;;;19;5;0;0;0;3;13.5;1997-01-22 00:00:00;2.3;1997-01-01 00:00:00;18.5;1997-01-22 00:00:00;-2;1997-01-01 00:00:00;15.6;1997-01-24 00:00:00;26;1997-01-04 00:00:00;1;0;6;18
07761;1997-01-01 00:00:00;1017.2;1018.3;9.3;3.8;15;5.3;9.7;47;6;149;30;31;31;31;31;31;;;;;;;5;3;0;;;;;;6;1;0;0;0;1;13;1997-01-23 00:00:00;6.6;1997-01-11 00:00:00;22.4;1997-01-23 00:00:00;1.3;1997-01-16 00:00:00;11.8;1997-01-04 00:00:00;23;1997-01-04 00:00:00;3;0;6;18
07790;1997-01-01 00:00:00;1017.8;1019.2;9.8;3;14.2;6.5;10.2;38;10;122;29;31;31;31;31;31;;;;;;;2;1;0;;;;;;9;0;0;;;;13.3;1997-01-21 00:00:00;7.4;1997-01-06 00:00:00;16.4;1997-01-15 00:00:00;3.5;1997-01-08 00:00:00;11.4;1997-01-07 00:00:00;14;1997-01-03 00:00:00;;;6;18
61968;1997-01-01 00:00:00;1010.4;1010.8;28.1;0.8;31.2;25.2;29.6;110;15;228;31;31;31;31;31;31;31;29;;;;;5;3;1;;;;;;2;0;0;;;;29.1;1997-01-21 00:00:00;26.2;1997-01-11 00:00:00;33.2;1997-01-07 00:00:00;22.3;1997-01-27 00:00:00;51;1997-01-02 00:00:00;;1997-01-27 00:00:00;11;0;11;23
61970;1997-01-01 00:00:00;1008.7;1009.7;27.7;1.4;30.4;24.8;31;581;18;178;31;31;31;31;31;31;31;22;;;;;14;14;5;;;;;;;;;0;0;1;29.8;1997-01-02 00:00:00;24.1;1997-01-17 00:00:00;33.5;1997-01-05 00:00:00;23.2;1997-01-15 00:00:00;95.4;1997-01-28 00:00:00;;;14;0;11;23
61972;1997-01-01 00:00:00;1008.6;1009.9;28.7;0.6;31.3;26.2;30.4;133;13;281;30;30;31;30;31;31;;30;;;;;6;4;0;;;;;;8;0;0;;;;29.5;1997-01-27 00:00:00;27.1;1997-01-14 00:00:00;33.1;1997-01-25 00:00:00;23.6;1997-01-13 00:00:00;35.6;1997-01-13 00:00:00;;1997-01-10 00:00:00;4;0;11;23
61976;1997-01-01 00:00:00;1008.6;1009.9;27.2;0.6;29.5;25.2;28.9;301;23;213;30;30;31;29;31;31;;16;;;;;12;8;1;;;;;;15;0;0;0;0;1;28.2;1997-01-14 00:00:00;26;1997-01-03 00:00:00;31;1997-01-13 00:00:00;22.6;1997-01-28 00:00:00;73.8;1997-01-03 00:00:00;;1997-01-03 00:00:00;0;0;11;23
61980;1997-01-01 00:00:00;1010.4;1012.9;26.1;0.7;29.2;23.3;24.8;297;18;208;0;0;31;0;31;31;;;;;;;9;7;2;1;;;;;23;0;0;0;0;1;27.8;1997-01-19 00:00:00;24.5;1997-01-22 00:00:00;32;1997-01-19 00:00:00;20.6;1997-01-01 00:00:00;111;1997-01-23 00:00:00;;1997-01-22 00:00:00;3;0;11;23
61996;1997-01-01 00:00:00;1019.6;1023.7;16.9;16.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61997;1997-01-01 00:00:00;994.5;1012.2;9.1;2.8;13.3;5.9;9.4;;;0;3;3;31;2;0;0;;;;;;;;;;;;;;;27;5;0;31;31;31;;;;;;;;;;;;;;;11;23
67005;1997-01-01 00:00:00;1009.4;1010.1;28.1;0.8;30.4;26.2;31.1;86;17;172;27;27;31;27;31;31;;;;;;;6;3;0;;;;;;9;1;0;;;;29;1997-01-26 00:00:00;26.2;1997-01-13 00:00:00;32.2;1997-01-04 00:00:00;24;1997-01-03 00:00:00;15.4;1997-01-13 00:00:00;23;1997-01-31 00:00:00;15;0;11;23
78925;1997-01-01 00:00:00;1014.7;1015.6;25.6;0.8;28.6;22.6;24.8;128;16;;;;;;;;31;0;0;0;;;10;4;0;0;;;;;28;0;0;0;0;0;;;;;;;;;;;;;;;;
81405;1997-01-01 00:00:00;1011.4;;25.1;1.9;28.5;23.1;29.4;906;27;77;31;31;31;31;31;31;30;7;0;0;0;0;25;21;5;2;;;;;21;0;0;0;0;9;27;1997-01-03 00:00:00;23.3;1997-01-17 00:00:00;31.3;1997-01-06 00:00:00;21.8;1997-01-27 00:00:00;120.6;1997-01-17 00:00:00;15;1997-01-15 00:00:00;4;0;21;12
